AAC;Aachen;Aix-la-Chapelle;Aachen;Aachen;Aachen;Aachen;Aachen;Aachen;Aachen;Aachen;Aachen;Aachen;Aachen;x
AAC_ADJ;Aachener;aixoise;Aachnerisch;Aachener;Aachener;Aachener;Aachener;Aachener;Aachener;Aachener;Aachener;Aachener;Aachener;x
ABB;Dongola;Dongola;Dunqula;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;x
ABB_ADJ;Dongolan;dongola;Dunqulaisch;Dongolan;dongolano;Dongolan;Dongolan;Dongolan;Dongolan;Dongolan;Dongolan;Dongolan;Dongolan;x
ABE;Abenaki;Abénaquis;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;x
ABE_ADJ;Abenaki;abénaquie;Abenakisch;Abenaki;abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;x
ABE_anarcho_liberal;Radical Party;Parti Radical;Radikale Partei;Partia Radykalna;Partido Radical;Partito Radicale;Radikális Párt;Radikální Strana;Radikális Párt;Radicale Partij;Partido Radical;Ğàäèêàëüíàÿ Ïàğòèÿ;Radikaalipuolue;x
ABE_communist;Communist Party;Parti Communiste;Kommunistische Partei;Partia Komunistyczna;Partido Comunista;Partito Comunista;Kommunista Párt;Komunistická Strana;Kommunista Párt;Communistische Partij;Partido Comunista;Êîììóíèñòè÷åñêàÿ Ïàğòèÿ;Kommunistinenpuolue;x
ABE_conservative;Conservative Party;Parti Conservateur;Konservative Partei;Partia Konserwatywna;Partido Conservador;Partito Conservatore;Konzervatív Párt;Konzervativní Strana;Konzervatív Párt;Conservatieve Partij;Partido Conservador;Êîíñåğâàòèâíàÿ Ïàğòèÿ;Konservatiivipuolue;x
ABE_fascist;Fascist Party;Parti Fasciste;Faschistische Partei;Partia Faszystowska;Partido Fascista;Partito Fascista;Fasiszta Párt;Fašistická Strana;Fasiszta Párt;Fascistische Partij;Partido Fascista;Ôàøèñòñêàÿ Ïàğòèÿ;Fasistinenpuolue;x
ABE_liberal;Liberal Party;Parti Libéral;Liberale Partei;Partia Liberalna;Partido Liberal;Partito Liberale;Liberális Párt;Liberální Strana;Liberális Párt;Liberale Partij;Partido Liberal;Ëèáåğàëüíàÿ Ïàğòèÿ;Liberaalipuolue;x
